zotero_link|creator
8C4KQFQ2|Masahide
GT7KKI4B|Elisonas
X2DPKUTV|Gauer_Schaepe_Welch
UH4IT8HN|Hall
HGBSC5H8|Avery_et_al
3E7W8DUK|Toshio
Z5H6CUE8|Kitagawa
X3E73T6S|Morgan_Reid_Garthwaite
MHG9VETQ|Clark
LJ82CF4V|Rousseau_et_al
LAEWV4ED|Spatzier_et_al
9LLUJTEB|Mandich_et_al
TGXPYRGN|Kelly
9X42V3LW|Menotti_Jennings_Gollnisch-Moos
2IEPPC3J|Delattre_Auxiette_Pinard
E6W3FBBZ|Sîrbu_Simion
7LP5Q85M|Delattre_et_al
83VCK896|Golec
D35F5IU9|Vanmoerkerke_Achard-Corompt_Riquier
E8UZHQ5I|Brunaux_Albert_Midant-Reynes
5SJGNZ5H|Demoule
KNYFDSFS|Brunaux_Méniel
VBK7PVPB|Thiol
EXCWMECZ|Robinson
P4FKZN9F|Abou_El_Fadl
CUGPJAMD|Lewis
RAB8QGNJ|Rushkoff
PSBUSKBB|Lewis_Pellat_Schacht
B76EJ456|Wing
I967CWTZ|Smith
ZRAMFTN7|Harris
9IP4D759|Usman
9UB7CXC7|Kapteijns
78DSMTUK|Hassen
ZD5MGAHU|Lee
P68G5G75|Audu
SZCJEB2R|Stathakopoulos_et_al
GR89DNEK|Benti
TAXA2IX3|Smitka
IWW2D7A6|Smitka_Crawcour_Yamamura
3KM2KI32|Smitka_McClain_Furushima
WAGV8VLH|Murray
BZHQCJFG|Abdulkadir
KDD7N23W|Mair
F9EZZD6F|Walter
AI6WBCB3|So
3XZFXAMM|Buswell_Lopez
FWE5QV9U|Ficquet_Smidt
C8CHAWDJ|Ofcansky_Shinn
RIS6ZF93|Ostebo
DE33E2GC|Negedu
9HDDJJ4T|Adama
3ZRXEV7E|Heywood
AW6VKD66|Lawson
ZDSVSSJ3|Ali
FBHIJNQM|Sadek
RARBJG5V|Wink
XMZIPNGF|Ma
AT4457EA|Knysh
Q4Z3H7DZ|Tobi
HZ2GPT7B|Bury
KVY4CK8R|Orlandi_et_al
HKUFRSEM|Hoyer_et_al
NS6GMT7E|Dumper_Stanley
QH5QTKXV|Alpers
TM9Q67F2|Kolapo
7RBGG4TW|Kelman
6JT66KER|Ananich_Lieven
58IU2MUM|Waldron_Lieven
DG3K8B9P|Dani
BR6SZP3E|Rezakhani
3UHA39R7|Zeimal
9EMWKRZB|Hendrickx_Huyge_Wendrich
KFAS3ESN|Alram
2WWMEPIG|Beckwith
AI2QXWKC|Abramson
NXK3H2JA|Guidi_Drago_Troccoli
V62G2MA2|Barker
79VWG2WI|Guidi_et_al
W94UAFFP|Hoyland
E2UMDG5Z|Hughes
MJEBSKNT|Robin
3TKCEUR6|Bietti_Sestrieri_Fokkens_Harding
Z6PFRTKR|Frangipane_Poettinger_Schefold
MWPS9WFX|Mayoral_Olsson
PYKGMJEB|Schönholzer
6QH2GEJV|Mishra
S86CQUS2|Karaman_Pamuk
MXZ7DKD8|Halil
JSQJJN84|Dolfini
5BDTV7GN|Cardelli_et_al
B5JXW629|Dolfini
H47T6HQI|Whitehouse_Renfrew
7UM53M9J|Quataert
69NDMDNC|Franklin_Perrie
CGASQ8K7|Martin_Perrie
CVTXTVXM|Winter
XM4AJNVY|Kondor_et_al
J4P8J6ZZ|Pringle
3AKAG2IW|de_Maigret
GKE4MFRH|Herbert
T9JFH8AS|Hamel
XAMPZR6R|Woolf
7T32SIJP|Joyce
MUBAKUPC|Gelfand_et_al
JIUUIU4M|Hendrickx_Vermeersch_Shaw
IUAVQ3D3|Sherman_et_al
KT4AIPJ6|Wengrow_et_al
4WNKQRXS|Midant-Reynes_Grajetzki_Wendrich
6C9FAVJ4|Miran
85TEC4WZ|Kuronuma_et_al
ZUK4WHC7|Fedele
ZA4FF7DC|David
EUFE8JKB|Shaw
T24HVC2C|Sozer
ZKQDPDMG|Flemming
SQESRMD7|Bard_Shaw
M97LBNUB|Wallis
8C8E37JN|Hoyer
WMLJILMP|Morris
JPPQ328S|Smith
C582LTKS|Scheidel
YZE9KWBH|Feinman
AU33JPS9|Anđelković_Teeter
7FXMXW9M|Stevenson
T23ZGHBU|Stevenson_Wendrich
K3ICQZS3|Silverstein
DIADQS89|Teeter
6F6MBPWQ|Hodder
NM4E7X3W|Ozbasaran
N28TXVIF|Ireland
678RV6WE|Muhs
FAZM7D6Z|Arhin
QEMQWMRG|Bunson
HM9K6VH3|Haddow
CHRA684Z|Wason
WR4WJM6X|Whitehouse_Hodder
BXGKPVM5|Hargrove
